,A,B
40,서초포레스타6단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초포레스타6단지'}) RETURN n.moveInYear
41,서초포레스타5단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초포레스타5단지'}) RETURN n.moveInYear
42,신반포10차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포10차'}) RETURN n.moveInYear
43,신반포8차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포8차'}) RETURN n.moveInYear
44,반포르엘 아파트의 입주년도는 언제야?,MATCH (n {name:’반포르엘'}) RETURN n.moveInYear
45,래미안서초스위트 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안서초스위트'}) RETURN n.moveInYear
46,서초교대e편한세상 아파트의 입주년도는 언제야?,MATCH (n {name:’서초교대e편한세상'}) RETURN n.moveInYear
47,래미안서초에스티지 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안서초에스티지'}) RETURN n.moveInYear
48,반포힐스테이트 아파트의 입주년도는 언제야?,MATCH (n {name:’반포힐스테이트'}) RETURN n.moveInYear
49,강변 아파트의 입주년도는 언제야?,MATCH (n {name:’강변'}) RETURN n.moveInYear
50,LH서초5단지 아파트의 입주년도는 언제야?,MATCH (n {name:’LH서초5단지'}) RETURN n.moveInYear
51,우성5차 아파트의 입주년도는 언제야?,MATCH (n {name:’우성5차'}) RETURN n.moveInYear
52,신반포12차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포12차'}) RETURN n.moveInYear
53,신반포청구 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포청구'}) RETURN n.moveInYear
54,신반포16차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포16차'}) RETURN n.moveInYear
55,방배아트자이 아파트의 입주년도는 언제야?,MATCH (n {name:’방배아트자이'}) RETURN n.moveInYear
56,방배현대홈타운2차 아파트의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운2차'}) RETURN n.moveInYear
57,서초LH4단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초LH4단지'}) RETURN n.moveInYear
58,삼성쉐르빌II 아파트의 입주년도는 언제야?,MATCH (n {name:’삼성쉐르빌II'}) RETURN n.moveInYear
59,서초포레스타3단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초포레스타3단지'}) RETURN n.moveInYear
60,롯데캐슬갤럭시2차 아파트의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬갤럭시2차'}) RETURN n.moveInYear
61,더샵서초 아파트의 입주년도는 언제야?,MATCH (n {name:’더샵서초'}) RETURN n.moveInYear
62,래미안신반포리오센트 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안신반포리오센트'}) RETURN n.moveInYear
63,래미안서초유니빌 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안서초유니빌'}) RETURN n.moveInYear
64,서초센트럴아이파크 아파트의 입주년도는 언제야?,MATCH (n {name:’서초센트럴아이파크'}) RETURN n.moveInYear
65,반포미도2차 아파트의 입주년도는 언제야?,MATCH (n {name:’반포미도2차'}) RETURN n.moveInYear
66,방배대우디오빌 아파트의 입주년도는 언제야?,MATCH (n {name:’방배대우디오빌'}) RETURN n.moveInYear
67,한강 아파트의 입주년도는 언제야?,MATCH (n {name:’한강'}) RETURN n.moveInYear
68,방배서리풀e-편한세상 아파트의 입주년도는 언제야?,MATCH (n {name:’방배서리풀e-편한세상'}) RETURN n.moveInYear
69,삼호1차 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호1차'}) RETURN n.moveInYear
70,롯데캐슬헤론 아파트의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬헤론'}) RETURN n.moveInYear
71,현대 아파트의 입주년도는 언제야?,MATCH (n {name:’현대'}) RETURN n.moveInYear
72,대림 아파트의 입주년도는 언제야?,MATCH (n {name:’대림'}) RETURN n.moveInYear
73,한신서래 아파트의 입주년도는 언제야?,MATCH (n {name:’한신서래'}) RETURN n.moveInYear
74,방배우성 아파트의 입주년도는 언제야?,MATCH (n {name:’방배우성'}) RETURN n.moveInYear
75,동고 아파트의 입주년도는 언제야?,MATCH (n {name:’동고'}) RETURN n.moveInYear
76,신반포7차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포7차'}) RETURN n.moveInYear
77,서초네이처힐6단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐6단지'}) RETURN n.moveInYear
78,서초이오빌 아파트의 입주년도는 언제야?,MATCH (n {name:’서초이오빌'}) RETURN n.moveInYear
79,삼호4차 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호4차'}) RETURN n.moveInYear
80,임광3차 아파트의 입주년도는 언제야?,MATCH (n {name:’임광3차'}) RETURN n.moveInYear
81,"임광1,2차 아파트의 입주년도는 언제야?","MATCH (n {name:’임광1,2차'}) RETURN n.moveInYear"
82,방배래미안 아파트의 입주년도는 언제야?,MATCH (n {name:’방배래미안'}) RETURN n.moveInYear
83,방배래미안타워 아파트의 입주년도는 언제야?,MATCH (n {name:’방배래미안타워'}) RETURN n.moveInYear
84,대우효령 아파트의 입주년도는 언제야?,MATCH (n {name:’대우효령'}) RETURN n.moveInYear
85,삼익 아파트의 입주년도는 언제야?,MATCH (n {name:’삼익'}) RETURN n.moveInYear
86,신동아 아파트의 입주년도는 언제야?,MATCH (n {name:’신동아'}) RETURN n.moveInYear
87,서초네이처힐4단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐4단지'}) RETURN n.moveInYear
88,신반포11차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포11차'}) RETURN n.moveInYear
89,서초포레스타7단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초포레스타7단지'}) RETURN n.moveInYear
90,블루힐하우스 아파트의 입주년도는 언제야?,MATCH (n {name:’블루힐하우스'}) RETURN n.moveInYear
91,서초롯데캐슬프레지던트 아파트의 입주년도는 언제야?,MATCH (n {name:’서초롯데캐슬프레지던트'}) RETURN n.moveInYear
92,아남 아파트의 입주년도는 언제야?,MATCH (n {name:’아남'}) RETURN n.moveInYear
93,반포센트레빌아스테리움 아파트의 입주년도는 언제야?,MATCH (n {name:’반포센트레빌아스테리움'}) RETURN n.moveInYear
94,신반포19차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포19차'}) RETURN n.moveInYear
95,서초현대 아파트의 입주년도는 언제야?,MATCH (n {name:’서초현대'}) RETURN n.moveInYear
96,잠원현대훼밀리 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원현대훼밀리'}) RETURN n.moveInYear
97,서초한신 아파트의 입주년도는 언제야?,MATCH (n {name:’서초한신'}) RETURN n.moveInYear
98,한신로얄 아파트의 입주년도는 언제야?,MATCH (n {name:’한신로얄'}) RETURN n.moveInYear
99,한신타운 아파트의 입주년도는 언제야?,MATCH (n {name:’한신타운'}) RETURN n.moveInYear
100,코오롱 아파트의 입주년도는 언제야?,MATCH (n {name:’코오롱'}) RETURN n.moveInYear
101,우면한라 아파트의 입주년도는 언제야?,MATCH (n {name:’우면한라'}) RETURN n.moveInYear
102,반포한신타워 아파트의 입주년도는 언제야?,MATCH (n {name:’반포한신타워'}) RETURN n.moveInYear
103,서초e-편한세상1차 아파트의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상1차'}) RETURN n.moveInYear
104,킴스빌리지 아파트의 입주년도는 언제야?,MATCH (n {name:’킴스빌리지'}) RETURN n.moveInYear
105,서초리시온 아파트의 입주년도는 언제야?,MATCH (n {name:’서초리시온'}) RETURN n.moveInYear
106,롯데캐슬갤럭시1차 아파트의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬갤럭시1차'}) RETURN n.moveInYear
107,서초롯데캐슬리버티 아파트의 입주년도는 언제야?,MATCH (n {name:’서초롯데캐슬리버티'}) RETURN n.moveInYear
108,현대ESA 아파트의 입주년도는 언제야?,MATCH (n {name:’현대ESA'}) RETURN n.moveInYear
109,신화 아파트의 입주년도는 언제야?,MATCH (n {name:’신화'}) RETURN n.moveInYear
110,금호베스트빌 아파트의 입주년도는 언제야?,MATCH (n {name:’금호베스트빌'}) RETURN n.moveInYear
111,삼성서초가든스위트 아파트의 입주년도는 언제야?,MATCH (n {name:’삼성서초가든스위트'}) RETURN n.moveInYear
112,서초네이처힐7단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐7단지'}) RETURN n.moveInYear
113,신반포27차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포27차'}) RETURN n.moveInYear
114,서초현대4차 아파트의 입주년도는 언제야?,MATCH (n {name:’서초현대4차'}) RETURN n.moveInYear
115,현대성우 아파트의 입주년도는 언제야?,MATCH (n {name:’현대성우'}) RETURN n.moveInYear
116,서초대우디오빌프라임 아파트의 입주년도는 언제야?,MATCH (n {name:’서초대우디오빌프라임'}) RETURN n.moveInYear
117,힐스테이트서초젠트리스 아파트의 입주년도는 언제야?,MATCH (n {name:’힐스테이트서초젠트리스'}) RETURN n.moveInYear
118,서초삼성래미안 아파트의 입주년도는 언제야?,MATCH (n {name:’서초삼성래미안'}) RETURN n.moveInYear
119,반포푸르지오 아파트의 입주년도는 언제야?,MATCH (n {name:’반포푸르지오'}) RETURN n.moveInYear
120,서초트라팰리스 아파트의 입주년도는 언제야?,MATCH (n {name:’서초트라팰리스'}) RETURN n.moveInYear
121,방배아크로타워 아파트의 입주년도는 언제야?,MATCH (n {name:’방배아크로타워'}) RETURN n.moveInYear
122,잠원중앙하이츠(B동) 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원중앙하이츠(B동)'}) RETURN n.moveInYear
123,방배아크로리버 아파트의 입주년도는 언제야?,MATCH (n {name:’방배아크로리버'}) RETURN n.moveInYear
124,방배e-편한세상3차 아파트의 입주년도는 언제야?,MATCH (n {name:’방배e-편한세상3차'}) RETURN n.moveInYear
125,신동아2차 아파트의 입주년도는 언제야?,MATCH (n {name:’신동아2차'}) RETURN n.moveInYear
126,서초자이 아파트의 입주년도는 언제야?,MATCH (n {name:’서초자이'}) RETURN n.moveInYear
127,강남역푸르지오시티(도시형) 아파트의 입주년도는 언제야?,MATCH (n {name:’강남역푸르지오시티(도시형)'}) RETURN n.moveInYear
128,현대동궁 아파트의 입주년도는 언제야?,MATCH (n {name:’현대동궁'}) RETURN n.moveInYear
129,삼호한숲 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호한숲'}) RETURN n.moveInYear
130,동원베네스트 아파트의 입주년도는 언제야?,MATCH (n {name:’동원베네스트'}) RETURN n.moveInYear
131,신반포궁전 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포궁전'}) RETURN n.moveInYear
132,신반포25차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포25차'}) RETURN n.moveInYear
133,풍림아이원플러스 아파트의 입주년도는 언제야?,MATCH (n {name:’풍림아이원플러스'}) RETURN n.moveInYear
134,서초네이처힐1단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐1단지'}) RETURN n.moveInYear
135,양재우성KBS(113동) 아파트의 입주년도는 언제야?,MATCH (n {name:’양재우성KBS(113동)'}) RETURN n.moveInYear
136,잠원한신그린 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원한신그린'}) RETURN n.moveInYear
137,삼호2차 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호2차'}) RETURN n.moveInYear
138,서초한빛삼성 아파트의 입주년도는 언제야?,MATCH (n {name:’서초한빛삼성'}) RETURN n.moveInYear
139,밀라텔쉐르빌(엠쉐르빌) 아파트의 입주년도는 언제야?,MATCH (n {name:’밀라텔쉐르빌(엠쉐르빌)'}) RETURN n.moveInYear
140,서초아트자이 아파트의 입주년도는 언제야?,MATCH (n {name:’서초아트자이'}) RETURN n.moveInYear
141,엠브이 아파트의 입주년도는 언제야?,MATCH (n {name:’엠브이'}) RETURN n.moveInYear
142,잠원훼미리 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원훼미리'}) RETURN n.moveInYear
143,방배브라운스톤 아파트의 입주년도는 언제야?,MATCH (n {name:’방배브라운스톤'}) RETURN n.moveInYear
144,한라비발디스튜디오193(도시형) 아파트의 입주년도는 언제야?,MATCH (n {name:’한라비발디스튜디오193(도시형)'}) RETURN n.moveInYear
145,방배마에스트로 아파트의 입주년도는 언제야?,MATCH (n {name:’방배마에스트로'}) RETURN n.moveInYear
146,롯데캐슬주피터 아파트의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬주피터'}) RETURN n.moveInYear
147,잠원현대 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원현대'}) RETURN n.moveInYear
148,방배e-편한세상1차 아파트의 입주년도는 언제야?,MATCH (n {name:’방배e-편한세상1차'}) RETURN n.moveInYear
149,방배롯데캐슬로제 아파트의 입주년도는 언제야?,MATCH (n {name:’방배롯데캐슬로제'}) RETURN n.moveInYear
150,쌍용예가클래식 아파트의 입주년도는 언제야?,MATCH (n {name:’쌍용예가클래식'}) RETURN n.moveInYear
151,삼호가든맨션5차 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호가든맨션5차'}) RETURN n.moveInYear
152,신반포18차(337동) 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포18차(337동)'}) RETURN n.moveInYear
153,잠원대우아이빌 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원대우아이빌'}) RETURN n.moveInYear
154,서초한신리빙타워 아파트의 입주년도는 언제야?,MATCH (n {name:’서초한신리빙타워'}) RETURN n.moveInYear
155,삼환나띠르빌 아파트의 입주년도는 언제야?,MATCH (n {name:’삼환나띠르빌'}) RETURN n.moveInYear
156,서초e-편한세상2차 아파트의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상2차'}) RETURN n.moveInYear
157,서초쌍용플래티넘 아파트의 입주년도는 언제야?,MATCH (n {name:’서초쌍용플래티넘'}) RETURN n.moveInYear
158,현대ESA2 아파트의 입주년도는 언제야?,MATCH (n {name:’현대ESA2'}) RETURN n.moveInYear
159,서초네이처힐2단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐2단지'}) RETURN n.moveInYear
160,신반포22차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포22차'}) RETURN n.moveInYear
161,신반포9차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포9차'}) RETURN n.moveInYear
162,신영체르니 아파트의 입주년도는 언제야?,MATCH (n {name:’신영체르니'}) RETURN n.moveInYear
163,방배현대홈타운3차 아파트의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운3차'}) RETURN n.moveInYear
164,신반포17차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포17차'}) RETURN n.moveInYear
165,현대멤피스 아파트의 입주년도는 언제야?,MATCH (n {name:’현대멤피스'}) RETURN n.moveInYear
166,서초대우아이빌 아파트의 입주년도는 언제야?,MATCH (n {name:’서초대우아이빌'}) RETURN n.moveInYear
167,삼호3차 아파트의 입주년도는 언제야?,MATCH (n {name:’삼호3차'}) RETURN n.moveInYear
168,잠원월드메르디앙 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원월드메르디앙'}) RETURN n.moveInYear
169,신반포20차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포20차'}) RETURN n.moveInYear
170,서초아이파크 아파트의 입주년도는 언제야?,MATCH (n {name:’서초아이파크'}) RETURN n.moveInYear
171,방배자이 아파트의 입주년도는 언제야?,MATCH (n {name:’방배자이'}) RETURN n.moveInYear
172,강남원효성 아파트의 입주년도는 언제야?,MATCH (n {name:’강남원효성'}) RETURN n.moveInYear
173,방배브라운가 아파트의 입주년도는 언제야?,MATCH (n {name:’방배브라운가'}) RETURN n.moveInYear
174,방배한신트리플 아파트의 입주년도는 언제야?,MATCH (n {name:’방배한신트리플'}) RETURN n.moveInYear
175,서초e-편한세상5차 아파트의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상5차'}) RETURN n.moveInYear
176,마제스타시티힐스테이트서리풀 아파트의 입주년도는 언제야?,MATCH (n {name:’마제스타시티힐스테이트서리풀'}) RETURN n.moveInYear
177,지웰홈스서초 아파트의 입주년도는 언제야?,MATCH (n {name:’지웰홈스서초'}) RETURN n.moveInYear
178,르엘신반포파크애비뉴 아파트의 입주년도는 언제야?,MATCH (n {name:’르엘신반포파크애비뉴'}) RETURN n.moveInYear
179,신반포15차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포15차'}) RETURN n.moveInYear
180,녹원한신 아파트의 입주년도는 언제야?,MATCH (n {name:’녹원한신'}) RETURN n.moveInYear
181,신반포21차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포21차'}) RETURN n.moveInYear
182,방배동부센트레빌 아파트의 입주년도는 언제야?,MATCH (n {name:’방배동부센트레빌'}) RETURN n.moveInYear
183,방배아이파크 아파트의 입주년도는 언제야?,MATCH (n {name:’방배아이파크'}) RETURN n.moveInYear
184,헤센파크힐 아파트의 입주년도는 언제야?,MATCH (n {name:’헤센파크힐'}) RETURN n.moveInYear
185,르엘신반포 아파트의 입주년도는 언제야?,MATCH (n {name:’르엘신반포'}) RETURN n.moveInYear
186,DK밸리뷰서초(주) 아파트의 입주년도는 언제야?,MATCH (n {name:’DK밸리뷰서초(주)'}) RETURN n.moveInYear
187,더샵반포리버파크(도시형) 아파트의 입주년도는 언제야?,MATCH (n {name:’더샵반포리버파크(도시형)'}) RETURN n.moveInYear
188,반포자이 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포자이'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
189,아크로리버파크 아파트에서 가장 큰 평수는?,MATCH (n {name:’아크로리버파크'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
190,래미안퍼스티지 아파트에서 가장 큰 평수는?,MATCH (n {name:’래미안퍼스티지'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
191,신반포2차 아파트에서 가장 큰 평수는?,MATCH (n {name:’신반포2차'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
192,서초그랑자이 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초그랑자이'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
193,신반포4차 아파트에서 가장 큰 평수는?,MATCH (n {name:’신반포4차'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
194,반포리체 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포리체'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
195,래미안리더스원 아파트에서 가장 큰 평수는?,MATCH (n {name:’래미안리더스원'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
196,삼풍 아파트에서 가장 큰 평수는?,MATCH (n {name:’삼풍'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
197,반포주공1단지 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포주공1단지'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
198,반포미도1차 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포미도1차'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
199,서초힐스 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초힐스'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
200,서초래미안 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초래미안'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
201,서초더샵포레 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초더샵포레'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
202,서초포레스타2단지 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초포레스타2단지'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
203,서초네이처힐3단지 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초네이처힐3단지'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
204,래미안원베일리 아파트에서 가장 큰 평수는?,MATCH (n {name:’래미안원베일리'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
205,반포래미안아이파크 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포래미안아이파크'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
206,반포센트럴자이 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포센트럴자이'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
207,동아 아파트에서 가장 큰 평수는?,MATCH (n {name:’동아'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
208,서초푸르지오써밋 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초푸르지오써밋'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
209,방배그랑자이 아파트에서 가장 큰 평수는?,MATCH (n {name:’방배그랑자이'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
210,반포써밋 아파트에서 가장 큰 평수는?,MATCH (n {name:’반포써밋'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
211,아크로리버뷰신반포 아파트에서 가장 큰 평수는?,MATCH (n {name:’아크로리버뷰신반포'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
212,롯데캐슬클래식 아파트에서 가장 큰 평수는?,MATCH (n {name:’롯데캐슬클래식'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
213,아크로비스타 아파트에서 가장 큰 평수는?,MATCH (n {name:’아크로비스타'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
214,신반포자이 아파트에서 가장 큰 평수는?,MATCH (n {name:’신반포자이'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
215,디에이치라클라스 아파트에서 가장 큰 평수는?,MATCH (n {name:’디에이치라클라스'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
216,유원서초 아파트에서 가장 큰 평수는?,MATCH (n {name:’유원서초'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
217,래미안서초에스티지S 아파트에서 가장 큰 평수는?,MATCH (n {name:’래미안서초에스티지S'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
218,신동아1차 아파트에서 가장 큰 평수는?,MATCH (n {name:’신동아1차'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
219,양재우성 아파트에서 가장 큰 평수는?,MATCH (n {name:’양재우성'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
220,잠원한신 아파트에서 가장 큰 평수는?,MATCH (n {name:’잠원한신'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
221,서초호반써밋 아파트에서 가장 큰 평수는?,MATCH (n {name:’서초호반써밋'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
222,래미안신반포팰리스 아파트에서 가장 큰 평수는?,MATCH (n {name:’래미안신반포팰리스'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
223,방배롯데캐슬아르떼 아파트에서 가장 큰 평수는?,MATCH (n {name:’방배롯데캐슬아르떼'}) UNWIND n.size AS size RETURN size ORDER BY size DESC LIMIT 1
