,A,B
163,방배현대홈타운3차의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운3차’}) RETURN n.moveInYear
164,신반포17차의 입주년도는 언제야?,MATCH (n {name:’신반포17차’}) RETURN n.moveInYear
165,현대멤피스의 입주년도는 언제야?,MATCH (n {name:’현대멤피스’}) RETURN n.moveInYear
166,서초대우아이빌의 입주년도는 언제야?,MATCH (n {name:’서초대우아이빌’}) RETURN n.moveInYear
167,삼호3차의 입주년도는 언제야?,MATCH (n {name:’삼호3차’}) RETURN n.moveInYear
168,잠원월드메르디앙의 입주년도는 언제야?,MATCH (n {name:’잠원월드메르디앙’}) RETURN n.moveInYear
169,신반포20차의 입주년도는 언제야?,MATCH (n {name:’신반포20차’}) RETURN n.moveInYear
170,서초아이파크의 입주년도는 언제야?,MATCH (n {name:’서초아이파크’}) RETURN n.moveInYear
171,방배자이의 입주년도는 언제야?,MATCH (n {name:’방배자이’}) RETURN n.moveInYear
172,강남원효성의 입주년도는 언제야?,MATCH (n {name:’강남원효성’}) RETURN n.moveInYear
173,방배브라운가의 입주년도는 언제야?,MATCH (n {name:’방배브라운가’}) RETURN n.moveInYear
174,방배한신트리플의 입주년도는 언제야?,MATCH (n {name:’방배한신트리플’}) RETURN n.moveInYear
175,서초e-편한세상5차의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상5차’}) RETURN n.moveInYear
176,마제스타시티힐스테이트서리풀의 입주년도는 언제야?,MATCH (n {name:’마제스타시티힐스테이트서리풀’}) RETURN n.moveInYear
177,지웰홈스서초의 입주년도는 언제야?,MATCH (n {name:’지웰홈스서초’}) RETURN n.moveInYear
178,르엘신반포파크애비뉴의 입주년도는 언제야?,MATCH (n {name:’르엘신반포파크애비뉴’}) RETURN n.moveInYear
179,신반포15차의 입주년도는 언제야?,MATCH (n {name:’신반포15차’}) RETURN n.moveInYear
180,녹원한신의 입주년도는 언제야?,MATCH (n {name:’녹원한신’}) RETURN n.moveInYear
181,신반포21차의 입주년도는 언제야?,MATCH (n {name:’신반포21차’}) RETURN n.moveInYear
182,방배동부센트레빌의 입주년도는 언제야?,MATCH (n {name:’방배동부센트레빌’}) RETURN n.moveInYear
183,방배아이파크의 입주년도는 언제야?,MATCH (n {name:’방배아이파크’}) RETURN n.moveInYear
184,헤센파크힐의 입주년도는 언제야?,MATCH (n {name:’헤센파크힐’}) RETURN n.moveInYear
185,르엘신반포의 입주년도는 언제야?,MATCH (n {name:’르엘신반포’}) RETURN n.moveInYear
186,DK밸리뷰서초(주)의 입주년도는 언제야?,MATCH (n {name:’DK밸리뷰서초(주)’}) RETURN n.moveInYear
187,더샵반포리버파크(도시형)의 입주년도는 언제야?,MATCH (n {name:’더샵반포리버파크(도시형)’}) RETURN n.moveInYear
188,우당탕 빌라의 평균 관리비는 얼마야?,MATCH (n {name:’우당탕 빌라’}) RETURN avg(n.maintenanceCost)
189,KOEX의 평균 관리비는 얼마야?,MATCH (n {name:’KOEX’}) RETURN avg(n.maintenanceCost)
190,킨텍스의 평균 관리비는 얼마야?,MATCH (n {name:’킨텍스’}) RETURN avg(n.maintenanceCost)
191,반포자이에서 가장 큰 평수는?,"MATCH (n {name:’반포자이’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
192,아크로리버파크에서 가장 큰 평수는?,"MATCH (n {name:’아크로리버파크’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
193,래미안퍼스티지에서 가장 큰 평수는?,"MATCH (n {name:’래미안퍼스티지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
194,신반포2차에서 가장 큰 평수는?,"MATCH (n {name:’신반포2차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
195,서초그랑자이에서 가장 큰 평수는?,"MATCH (n {name:’서초그랑자이’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
196,신반포4차에서 가장 큰 평수는?,"MATCH (n {name:’신반포4차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
197,반포리체에서 가장 큰 평수는?,"MATCH (n {name:’반포리체’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
198,래미안리더스원에서 가장 큰 평수는?,"MATCH (n {name:’래미안리더스원’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
199,삼풍에서 가장 큰 평수는?,"MATCH (n {name:’삼풍’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
200,반포주공1단지에서 가장 큰 평수는?,"MATCH (n {name:’반포주공1단지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
201,반포미도1차에서 가장 큰 평수는?,"MATCH (n {name:’반포미도1차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
202,서초힐스에서 가장 큰 평수는?,"MATCH (n {name:’서초힐스’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
203,서초래미안에서 가장 큰 평수는?,"MATCH (n {name:’서초래미안’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
204,서초더샵포레에서 가장 큰 평수는?,"MATCH (n {name:’서초더샵포레’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
205,서초포레스타2단지에서 가장 큰 평수는?,"MATCH (n {name:’서초포레스타2단지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
206,서초네이처힐3단지에서 가장 큰 평수는?,"MATCH (n {name:’서초네이처힐3단지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
207,래미안원베일리에서 가장 큰 평수는?,"MATCH (n {name:’래미안원베일리’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
208,반포래미안아이파크에서 가장 큰 평수는?,"MATCH (n {name:’반포래미안아이파크’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
209,반포센트럴자이에서 가장 큰 평수는?,"MATCH (n {name:’반포센트럴자이’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
210,동아에서 가장 큰 평수는?,"MATCH (n {name:’동아’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
211,서초푸르지오써밋에서 가장 큰 평수는?,"MATCH (n {name:’서초푸르지오써밋’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
212,방배그랑자이에서 가장 큰 평수는?,"MATCH (n {name:’방배그랑자이’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
213,반포써밋에서 가장 큰 평수는?,"MATCH (n {name:’반포써밋’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
214,아크로리버뷰신반포에서 가장 큰 평수는?,"MATCH (n {name:’아크로리버뷰신반포’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
215,롯데캐슬클래식에서 가장 큰 평수는?,"MATCH (n {name:’롯데캐슬클래식’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
216,아크로비스타에서 가장 큰 평수는?,"MATCH (n {name:’아크로비스타’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
217,신반포자이에서 가장 큰 평수는?,"MATCH (n {name:’신반포자이’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
218,디에이치라클라스에서 가장 큰 평수는?,"MATCH (n {name:’디에이치라클라스’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
219,유원서초에서 가장 큰 평수는?,"MATCH (n {name:’유원서초’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
220,래미안서초에스티지S에서 가장 큰 평수는?,"MATCH (n {name:’래미안서초에스티지S’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
221,신동아1차에서 가장 큰 평수는?,"MATCH (n {name:’신동아1차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
222,양재우성에서 가장 큰 평수는?,"MATCH (n {name:’양재우성’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
223,잠원한신에서 가장 큰 평수는?,"MATCH (n {name:’잠원한신’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
224,서초호반써밋에서 가장 큰 평수는?,"MATCH (n {name:’서초호반써밋’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
225,래미안신반포팰리스에서 가장 큰 평수는?,"MATCH (n {name:’래미안신반포팰리스’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
226,방배롯데캐슬아르떼에서 가장 큰 평수는?,"MATCH (n {name:’방배롯데캐슬아르떼’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
227,방배현대홈타운1차에서 가장 큰 평수는?,"MATCH (n {name:’방배현대홈타운1차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
228,진흥에서 가장 큰 평수는?,"MATCH (n {name:’진흥’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
229,방배래미안아트힐에서 가장 큰 평수는?,"MATCH (n {name:’방배래미안아트힐’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
230,현대슈퍼빌에서 가장 큰 평수는?,"MATCH (n {name:’현대슈퍼빌’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
231,서초포레스타6단지에서 가장 큰 평수는?,"MATCH (n {name:’서초포레스타6단지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
232,서초포레스타5단지에서 가장 큰 평수는?,"MATCH (n {name:’서초포레스타5단지’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
233,신반포10차에서 가장 큰 평수는?,"MATCH (n {name:’신반포10차’}) 
UNWIND n.size AS size
RETURN size ORDER BY size DESC LIMIT 1"
